Name,Platform,Year_of_Release,Genre,Genre_factor,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,GS_Category
Wii Sports,Wii,2006,Sports,0,Nintendo,41.36,28.96,3.77,82.53,76,51,80,322,Nintendo,E,high
Mario Kart Wii,Wii,2008,Racing,1,Nintendo,15.68,12.76,3.79,35.52,82,73,83,709,Nintendo,E,high
Wii Sports Resort,Wii,2009,Sports,0,Nintendo,15.61,10.93,3.28,32.77,80,73,80,192,Nintendo,E,high
New Super Mario Bros.,DS,2006,Platform,2,Nintendo,11.28,9.14,6.5,29.8,89,65,85,431,Nintendo,E,high
Wii Play,Wii,2006,Misc,3,Nintendo,13.96,9.18,2.93,28.92,58,41,66,129,Nintendo,E,high
New Super Mario Bros. Wii,Wii,2009,Platform,2,Nintendo,14.44,6.94,4.7,28.32,87,80,84,594,Nintendo,E,high
Mario Kart DS,DS,2005,Racing,1,Nintendo,9.71,7.47,4.13,23.21,91,64,86,464,Nintendo,E,high
Wii Fit,Wii,2007,Sports,0,Nintendo,8.92,8.03,3.6,22.7,80,63,77,146,Nintendo,E,high
Kinect Adventures!,X360,2010,Misc,3,Microsoft Game Studios,15,4.89,0.24,21.81,61,45,63,106,Good Science Studio,E,high
Wii Fit Plus,Wii,2009,Sports,0,Nintendo,9.01,8.49,2.53,21.79,80,33,74,52,Nintendo,E,high
Grand Theft Auto V,PS3,2013,Action,4,Take-Two Interactive,7.02,9.09,0.98,21.04,97,50,82,3994,Rockstar North,M,high
Grand Theft Auto: San Andreas,PS2,2004,Action,4,Take-Two Interactive,9.43,0.4,0.41,20.81,95,80,90,1588,Rockstar North,M,high
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,3,Nintendo,4.74,9.2,4.16,20.15,77,58,79,50,Nintendo,E,high
Grand Theft Auto V,X360,2013,Action,4,Take-Two Interactive,9.66,5.14,0.06,16.27,97,58,81,3711,Rockstar North,M,high
Grand Theft Auto: Vice City,PS2,2002,Action,4,Take-Two Interactive,8.41,5.49,0.47,16.15,95,62,87,730,Rockstar North,M,high
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,5,Nintendo,3.43,5.35,5.32,15.29,77,37,71,19,Nintendo,E,high
Gran Turismo 3: A-Spec,PS2,2001,Racing,1,Sony Computer Entertainment,6.85,5.09,1.87,14.98,95,54,84,314,Polyphony Digital,E,high
Call of Duty: Modern Warfare 3,X360,2011,Shooter,6,Activision,9.04,4.24,0.13,14.73,88,81,34,8713,"Infinity Ward, Sledgehammer Games",M,high
Call of Duty: Black Ops,X360,2010,Shooter,6,Activision,9.7,3.68,0.11,14.61,87,89,63,1454,Treyarch,M,high
Call of Duty: Black Ops II,PS3,2012,Shooter,6,Activision,4.99,5.73,0.65,13.79,83,21,53,922,Treyarch,M,high
Call of Duty: Black Ops II,X360,2012,Shooter,6,Activision,8.25,4.24,0.07,13.67,83,73,48,2256,Treyarch,M,high
Call of Duty: Modern Warfare 2,X360,2009,Shooter,6,Activision,8.52,3.59,0.08,13.47,94,100,63,2698,Infinity Ward,M,high
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,6,Activision,5.54,5.73,0.49,13.32,88,39,32,5234,"Infinity Ward, Sledgehammer Games",M,high
Grand Theft Auto III,PS2,2001,Action,4,Take-Two Interactive,6.99,4.51,0.3,13.1,97,56,85,664,DMA Design,M,high
Super Smash Bros. Brawl,Wii,2008,Fighting,7,Nintendo,6.62,2.55,2.66,12.84,93,81,89,1662,Game Arts,T,high
Mario Kart 7,3DS,2011,Racing,1,Nintendo,5.03,4.02,2.69,12.66,85,73,82,632,"Retro Studios, Entertainment Analysis & Development Division",E,high
Call of Duty: Black Ops,PS3,2010,Shooter,6,Activision,5.99,4.37,0.48,12.63,88,58,64,1094,Treyarch,M,high
Grand Theft Auto V,PS4,2014,Action,4,Take-Two Interactive,3.96,6.31,0.38,12.61,97,66,83,2899,Rockstar North,M,high
Animal Crossing: Wild World,DS,2005,Simulation,8,Nintendo,2.5,3.45,5.33,12.13,86,57,87,242,Nintendo,E,high
Halo 3,X360,2007,Shooter,6,Microsoft Game Studios,7.97,2.81,0.13,12.12,94,86,78,4100,"Bungie Software, Bungie",M,high
Gran Turismo 4,PS2,2004,Racing,1,Sony Computer Entertainment,3.01,0.01,1.1,11.66,89,74,85,272,Polyphony Digital,E,high
Super Mario Galaxy,Wii,2007,Platform,2,Nintendo,6.06,3.35,1.2,11.35,97,73,89,2147,Nintendo,E,high
Grand Theft Auto IV,X360,2008,Action,4,Take-Two Interactive,6.76,3.07,0.14,11.01,98,86,79,2951,Rockstar North,M,high
Gran Turismo,PS,1997,Racing,1,Sony Computer Entertainment,4.02,3.87,2.54,10.95,96,16,87,138,Polyphony Digital,E,high
Super Mario 3D Land,3DS,2011,Platform,2,Nintendo,4.89,3,2.14,10.81,90,82,84,921,Nintendo,E,high
Gran Turismo 5,PS3,2010,Racing,1,Sony Computer Entertainment,2.96,4.82,0.81,10.7,84,82,75,1112,Polyphony Digital,E,high
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,6,Activision,4.99,3.64,0.38,10.6,94,67,63,2073,Infinity Ward,M,high
Grand Theft Auto IV,PS3,2008,Action,4,Take-Two Interactive,4.76,3.69,0.44,10.5,98,64,75,2833,Rockstar North,M,high
Call of Duty: Ghosts,X360,2013,Shooter,6,Activision,6.73,2.56,0.04,10.25,73,29,26,2117,Infinity Ward,M,high
Just Dance 3,Wii,2011,Misc,3,Ubisoft,5.95,3.11,0,10.12,74,15,78,16,Ubisoft,E10+,high
New Super Mario Bros. 2,3DS,2012,Platform,2,Nintendo,3.66,3.14,2.47,9.9,78,70,72,424,Nintendo,E,high
Halo: Reach,X360,2010,Shooter,6,Microsoft Game Studios,7.04,1.95,0.08,9.86,91,99,79,2045,Bungie,M,high
Final Fantasy VII,PS,1997,Role-Playing,9,Sony Computer Entertainment,3.01,2.47,3.28,9.72,92,20,92,1282,SquareSoft,T,high
